C1QD,TAKE ONE CAPSULE DAILY
IBID,UNWRAP AND INSERT RECTALLY ONE SUPPOSITORY TWICE DAILY
IQ12,UNWRAP AND INSERT RECTALLY ONE SUPPOSITORY EVERY 12 HOURS
ITID,UNWRAP AND INSERT RECTALLY ONE SUPPOSITORY 3 TIMES DAILY
IQ8,UNWRAP AND INSERT RECTALLY ONE SUPPOSITORY EVERY 8 HOURS
IQID,UNWRAP AND INSERT RECTALLY ONE SUPPOSITORY 4 TIMES DAILY
IQ6,UNWRAP AND INSERT RECTALLY ONE SUPPOSITORY EVERY 6 HOURS
I2DB,INSTILL TWO DROPS TWICE DAILY
15A,INSERT ONE-HALF APPLICATORFUL INTO VAGINA AS DIRECTED
1A,INSERT ONE APPLICATORFUL INTO VAGINA AS DIRECTED
1GBID,INSTILL ONE DROP TWO TIMES A DAY
1DQID,INSTILL ONE DROP FOUR TIMES A DAY
1DTID,INSTILL ONE DROP THREE TIMES A DAY
